Title,Authors,Publish Date,Keywords,Abstract
"项目补贴、服务外包与社会组织发展：公益创投项目制的多案例研究","吴结兵1,2 李琼1,2 黄飚1,2","2024-09-09 17:45","项目补贴;, 服务外包;, 社会组织;, 成就目标导向;, 社会价值;","我国地方政府开展的公益创投探索是中国特色的社会组织发展政策，政府的制度设计及其作用机制值得深入研究。对此，本文区分了公益创投的两种项目制模式：项目补贴和服务外包，并构建了一个连接制度设计与组织行为、跨层次的社会组织发展分析框架。通过对G市和H市公益创投中8家社会组织的多案例研究，我们发现，在不同的项目制模式下，社会组织成就目标导向和社会价值具有明显差异：项目补贴增强了社会组织的学习目标导向，有助于社会组织面向公众持续提供社会服务；服务外包会带来社会组织的任务目标导向，强化社会组织的资源方需求定位，并弱化项目持续性。同时，组织自身的资源条件也会影响其成就目标导向。在服务外包模式下，组织资源充沛的社会组织更可能采取学习目标导向；在项目补贴模式下，组织资源条件不足的社会组织更可能采取任务目标导向。本研究拓展了项目制混合治理的研究，深化了对制度设计与社会组织发展之间作用机制的理解，对完善社会服务领域政策、促进社会组织发展具有一定的实践启示。"
"数字平台企业社会价值共创的实现机制——基于美团“青山计划”的纵向案例研究","肖红军1 张哲2 王欣1","2024-09-09 16:39","数字平台企业;, 社会价值;, 价值共创;, 边界跨越;, 协同创新;","在社会期望和外部环境动态变化的情境下，数字平台企业如何回应这些变化并开展社会价值创造，正在成为社会各界关注的焦点。本文以美团实施的社会价值共创项目“青山计划”为研究对象，采用“条件—行动策略—影响”的逻辑轴线，探究了数字平台企业通过边界跨越与协同创新实现新生态边界建设和社会价值规模化共创共享的过程机制。研究发现：第一，数字平台企业对其“商业性”与“准公共性”组织身份认知的“张力”和边界跨越者的推动，构成了数字平台企业从“0”到“1”开展社会价值共创的原始动力。第二，数字平台企业社会价值共创过程是基于“动态环境条件—边界跨越者—动态能力—边界跨越—协同创新—社会价值共创共益”的跨层次传导过程。在此过程中，边界跨越和协同创新是实现社会价值共创的关键机制。第三，边界跨越与协同创新之间的螺旋式交互作为数字平台企业社会价值共创行为的“放大器”，最终推动社会价值共创突破规模化瓶颈，实现平台中观层面价值共创行为的宏观社会影响。第四，数字平台企业社会价值共创模式呈现出动态演变性，由“公益式”社会价值共创模式到“共享价值式”社会价值共创模式，再到“共益式”社会价值共创模式，不断迭代升级。"
"技术范式下的创新发展：技术多样化与技术专业化的经济增长效应研究","冉征1,2 郑江淮3,4","2024-09-05","技术多样化;, 技术专业化;, 技术范式变革;, 经济增长;","以颠覆式创新为引领、加快发展新质生产力是推动中国高质量发展的内在要求。本文设计了包含技术范式变革的知识生产函数，构造了技术多样化和技术专业化共存的内生增长模型，基于1985～2017年各省发明专利数据进行实证检验。研究发现：（1）技术范式变革引领了经济增长的周期性波动，缺乏技术范式变革是现阶段中国经济增长率下行的重要原因，当前处于新一轮技术范式变革爆发前阶段。（2）在既定的技术范式下，受知识溢出和范式限制的共同影响，技术多样化的经济增长效应随着地区技术种类增加呈现先增强后衰退的趋势。（3）随着地区中间品平均质量的提升，两类技术创新活动的经济增长效应均出现明显衰减。对加快发展新质生产力的政策含义是，加快加大一系列颠覆性技术基础研究和应用研究投入，实现技术范式加速变革；不断提升产学研合作自由度，优化生产要素创新性配置；因地制宜、因时制宜地进行预见性创新治理，推动各地区产业深度转型升级，先发地区应当完善多主体协同创新体系，推动技术范式变革，使得技术多样化加速涌现，后发地区重点进行有选择地促进技术专业化投资，再逐渐转向技术多样化投资。"
"半导体材料后发企业如何实现国产替代？——基于湖北鼎龙的纵向案例研究","杨道虹1 王石宇1 华健2,1 梅建明3,1 朱顺全4","2024-09-05","国产替代;, 半导体材料;, 同源性技术;, 机会窗口;, 动力机制;","半导体材料国产替代是打赢关键核心技术攻坚战、实现高水平科技自立自强的重要任务之一。本文围绕日益增长的半导体材料国产替代需求与中小型企业缺乏与之相适应的国产替代模式这一突出矛盾，以湖北鼎龙为对象展开纵向案例研究，有力揭示了半导体材料后发企业实现国产替代的创新模式与实践路径。研究发现：第一，不同于传统集成创新型和生态导向型国产替代模式，同源性技术创新是湖北鼎龙实现国产替代的关键，其创新过程为中小型专精特新企业突破资源禀赋约束和开展国产替代提供了有效路径。第二，湖北鼎龙国产替代的机会窗口以“技术机会窗口—制度机会窗口—需求机会窗口”的顺序逐次打开，并推动了同源性技术“初始积累—跨界应用—深度转化”。第三，对内外部资源利用方式的结构性调整塑造了湖北鼎龙不同阶段的国产替代动力机制，这也是其实现“技术奠基—单点突破—多维突破”国产替代过程演化的关键。本文围绕模式创新和“机会窗口—同源性技术—动力机制”动态关联视角，填补了当前关键核心技术国产替代理论与机制研究的缺口，为科技封锁背景下我国关键材料后发企业国产替代提供了典型经验。"
"数字企业赋能中国对外贸易方式转型的效率与动力变革——基于中间品成本与需求结构的双重视角","蒋为 龚思豪 李锡涛","2024-09-05","数字企业赋能;, 对外贸易方式转型;, 中间品成本;, 需求结构;","数字企业驱动了数字技术与实体经济深入融合，能够深化供给侧效率变革与需求侧动力变革，为推动中国对外贸易方式转型、实现贸易强国建设注入新动能。本文将中间品与消费者双重搜寻匹配纳入异质性企业贸易组织决策的理论模型，从中间品成本下降和需求结构转变的双重视角，考察了数字企业驱动对外贸易方式转型的理论机理，并利用2000～2016年中国微观企业层面数据，对理论预测及其机制进行了计量检验与分析。本文研究发现，数字接近度的增加驱动了本地中间品占比和内需占比的双重提升，从而显著促进了一般贸易出口占比的持续增加，推动了中国对外贸易方式转型。此外，本文基于动态分解模型对中国对外贸易方式转型进行了分解，发现数字企业能够通过“企业内效应”与“企业间效应”决定的集约边际提高一般贸易出口占比，而非通过进入退出驱动的扩展边际。本文从数字企业赋能的视角为数字经济时代探索推进贸易强国建设、实现对外贸易高质量发展的现实路径提供了参考。"
"制造业企业在中国经济双循环中的比较优势分析——基于企业异质性视角","祝坤福1 王家荣2 李善同3","2024-09-05","全球价值链;, 国内价值链;, 比较优势;, 异质型企业;","充分发挥异质型企业比较优势，推动产业链供应链优化升级，是加快构建新发展格局、推动建设更高水平开放型经济新体制的关键所在。本文将全球价值链生产分解框架扩展至中国地区层面，并引入企业异质性视角，定量分析异质型企业在省际、国际和双重价值链生产的比较优势动态演变特征。研究发现，在省际贸易日益增强、国际贸易逐渐减弱的背景下，外资企业在高研发强度制造业、内资企业在中研发强度制造业、港澳台资企业在高研发强度和中低研发强度制造业中的比较优势显著，反映了异质型企业在推动中国产业链发展中各尽其能，优势互补的分工特征；不管是全国还是地区层面，港澳台资和外资企业在高研发制造业生产活动中比较优势突出，在产业链分工合作中发挥了重要枢纽作用。本文进一步采用结构分解分析方法重点分析贸易规模和产业链分工水平变化对异质型企业比较优势的贡献，结果表明，各类企业比较优势的提升主要是贸易规模扩大所致，产业链分工水平明显滞后，这一现象在高研发强度制造业中尤为明显。本文的研究结论为提升中国企业在全球产业链中的竞争力、助力经济实现高质量发展提供了政策启示。"
"数据、生产与宏观经济——一个具有企业数字化的一般均衡理论","李兆睿1 许志伟2,3","2024-09-05","企业数字化;, 微观数据生成;, 一般均衡;, 正反馈机制;","作为数字经济的核心要素，数据如何影响微观企业的决策逻辑和宏观经济的运行规律，是当下亟待探讨的理论课题。本文将企业的内生数据生成机制引入具有信息摩擦的一般均衡分析框架，研究企业数字化转型对微观决策和宏观系统的作用。微观层面，数据是企业生产经营活动的副产品，有助于企业降低不确定性；宏观层面，数据有助于减小信息摩擦，优化资源配置效率，提高全要素生产率。本文在理论上证明：在一般均衡下，数字经济中存在“微观数据增加→宏观生产率提高→微观数据增加”的正反馈机制，导致企业数字化在促进长期发展的同时也能够放大短期波动。进一步地，本文构建了刻画数字经济的动态随机一般均衡模型，定量分析了企业数字化的宏观影响。在政策建议上，本文的研究表明：短期而言，应重视企业数字化潜在的波动放大作用，加强数字经济中的宏观调控力度；长期而言，应增强企业数据供给激励，优化数据流通渠道，以实现数据驱动的高质量发展。"
"工业机器人应用与就业再配置","毛日昇1,2","2024-09-05","人工智能;, 机器人;, 就业增长;, 就业再配置;","近年来，集成了人工智能的新一代机器人正在我国快速普及应用。长期来看，机器人在国民经济各领域广泛应用对于提高企业生产效率，促进企业人力资本提升，推动企业数字化绿色低碳转型，缓解老龄化加速和劳动力成本快速上升的不利影响等方面会产生诸多积极作用。与此同时，机器人广泛普及应用同样会引起劳动力在地区和产业层面重新配置，对就业增长和再配置产生多方面影响。本文基于企业税收调查数据（2010～2016）、城市层面数据（1999～2019）、中国劳动力动态调查（2012～2018）微观数据，通过构建城市层面机器人渗透率工具变量，多角度探讨了机器人应用在地区层面的就业影响作用。研究发现：（1）机器人广泛应用显著增强了在位企业的市场优势，促进了市场在位企业总体就业增长，促进了劳动力在不同部门之间的转移，劳动力会倾向于转移到企业平均规模较大的行业。（2）企业加总层面和微观个体层面的经验结论表明：机器人应用显著地提升了企业生产效率，导致就业创造效应放缓的同时也显著降低了就业损失效应，劳动力在地区层面的就业稳定性呈现上升趋势。（3）机器人应用会产生显著的市场外溢效应，促进在位企业就业增长的同时，也会一定程度上放缓..."
"国际需求冲击如何影响企业产能利用率？——基于产量和产能协调的研究","陈爱贞1 赵冬颜2 刘志彪3","2024-09-05","国际需求冲击;, 产能利用率;, 产量和产能协调;, 资源再配置;","新国际竞争格局下外部需求冲击增大，企业如何协调产量和产能以避免产能利用率下降，对中国产业链供应链安全稳定和高质量发展至关重要。本文在梅利茨和奥塔维亚诺（2008）模型框架嵌入内生的产品质量选择，从理论上阐释了负向国际需求冲击对企业产能利用率的影响机理，并计量验证了企业协调产量和产能的应对机制。研究发现，国际需求规模下降引致的生产门槛正效应和质量提升正效应能抵减直接冲击负效应，该过程中企业间和企业内资源再配置能有效地提高产能利用率。进一步分析表明，行业特性具有重要影响，行业创新水平会增强负向国际需求冲击的产能利用率提升效应；对于产能利用程度较低的行业，负向国际需求冲击的产能利用率提升效应主要源于质量升级驱动的产量调整；在竞争水平低的高进入壁垒、低外向度、低产品差异化和低技术密集行业，负向国际需求冲击会引发产能利用率下降，反之，则促进高竞争水平行业的产能利用率提高。本研究为探索如何在应对外部冲击中升级产品质量和产业结构，从而为在“推动经济实现质的有效提升和量的合理增长”中增强产业链供应链安全稳定提供了理论支持和政策参考。"
"开发区债务增长的机理研究——基于开发区边界的精准识别","毛捷 柏金春","2024-09-05","开发区;, 融资平台;, 产业转型升级;, 公共服务设施;, 隐性担保;","开发区建设和创新发展在推动经济高质量发展中发挥了重要作用。然而，开发区债务持续增长已成为影响开发区可持续发展的一个突出问题。科学认识和管控开发区债务风险的关键在于厘清开发区融资平台债务增长的内在机理。党的二十届三中全会对融资平台改革转型和深化开发区管理制度改革做了重要部署。本文改进了国家级开发区的边界识别方法，以此为基础精准识别开发区内的融资平台及其债务，并利用开发区升格作为开发区建设发展的外生冲击，实证分析开发区融资平台债务增长的具体机制。研究发现，开发区建设发展过程中融资平台债务会显著增长。机制分析表明，一方面，产业转型升级和公共服务设施完善的需求增加是导致开发区融资平台增加举债的重要原因，有助于更好支持国家级开发区发挥综合发展功效；另一方面，隐性担保主体变换和土地资产支持也是导致开发区融资平台债务增长的重要作用机制，加重了开发区债务风险。以上发现有助于理解开发区融资平台债务增长的机理、功效和风险隐患，为防范化解开发区债务风险、完善开发区管理制度进而统筹开发区高质量发展和高水平安全提供了有益参考。"
